L&S,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTER SCIENCES,Section,#,Ave,A,AB,B,BC,C,D,F,S,,U,CR,N,P,,I,,NW,NR,Other,,,,,
266 COMP SCI,Grades,,GPA,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Computation,202 001,77,3.331,49.4,26,6.5,3.9,5.2,5.2,3.9,0,,0,0,0,0,,0,,0,0,0,,,,,
,240 001,125,3.104,28,8.8,37.6,15.2,7.2,2.4,0.8,0,,0,0,0,0,,0,,0,0,0,,,,,
,240 002,149,3.117,34.2,6.7,34.9,12.8,6,2.7,2.7,0,,0,0,0,0,,0,,0,0,0,,,,,
Intro to Discrete Mathematics,Course Total,274,3.111,31.4,7.7,36.1,13.9,6.6,2.6,1.8,0,,0,0,0,,0,0,,0,0,0,,,,,
,252 001,7,2.5,14.3,14.3,0,28.6,28.6,14.3,0,0,,0,0,0,0,,0,,0,0,0,,,,,
,252 002,139,3.183,37.4,15.8,16.5,13.7,14.4,0.7,1.4,0,,0,0,0,0,,0,,0,0,0,,,,,
,252 005,107,3.079,32.7,17.8,15,16.8,13.1,1.9,2.8,0,,0,0,0,0,,0,,0,0,0,,,,,
Intro to Computer Engineering,Course Total,253,3.121,34.8,16.6,15.4,15.4,14.2,1.6,2,0,,0,0,0,,0,0,,0,0,0,,,,,
Directed Study in Comp Sci,298 112,1,***,,,,,,,,,,,0,0,0,,0,,0,0,0,,,,,
,301 001,139,3.291,36,20.1,23.7,10.8,7.9,0.7,0.7,0,,0,0,0,0,,0,,0,0,0,,,,,
,301 002,141,3.302,33.3,22,28.4,7.8,5,0.7,1.4,1.4,,0,0,0,0,,0,,0,0,0,,,,,
Intro Data Programming,Course Total,280,3.297,34.6,21.1,26.1,9.3,6.4,0.7,1.1,0.7,,0,0,0,,0,0,,0,0,0,,,,,
,302 001,191,3.12,26.2,19.4,30.9,11.5,5.2,2.6,2.6,1,,0.5,0,0,0,,0,,0,0,0,,,,,
,302 002,208,3.02,26.9,12.5,35.1,9.6,6.7,3.4,4.3,1.4,,0,0,0,0,,0,,0,0,0,,,,,
,302 003,213,3.11,21.6,23.9,36.6,7.5,5.2,1.9,3.3,0,,0,0,0,0,,0,,0,0,0,,,,,
,302 004,211,3.05,19.9,16.6,39.3,14.2,4.7,2.8,1.9,0.5,,0,0,0,0,,0,,0,0,0,,,,,
Introduction to Programming,Course Total,823,3.074,23.6,18.1,35.6,10.7,5.5,2.7,3,0.7,,0.1,0,0,,0,0,,0,0,0,,,,,
,304 001,9,4,100,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,0,,,,,
,304 002,11,4,100,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,0,,,,,
,304 003,12,4,100,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,0,,,,,
,304 004,9,4,100,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,0,,,,,
,304 005,10,4,100,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,0,,,,,
,304 006,10,4,100,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,0,,,,,
,304 007,9,4,100,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,0,,,,,
WES-CS Group Meeting,Course Total,70,4,100,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,,,,
,352 001,37,3.027,18.9,21.6,29.7,10.8,16.2,2.7,0,0,,0,0,0,0,,0,,0,0,0,,,,,
,352 002,12,2.833,8.3,33.3,25,0,25,8.3,0,0,,0,0,0,0,,0,,0,0,0,,,,,
Digital System Fundamentals,Course Total,49,2.98,16.3,24.5,28.6,8.2,18.4,4.1,0,0,,0,0,0,,0,0,,0,0,0,,,,,
,354 001,135,2.914,25.9,13.3,23.7,12.6,16.3,3.7,3.7,0,,0,0,0,0,,0,,0,0,0.7,,,,,
,354 002,131,3.042,30.5,16.8,19.1,13,14.5,4.6,1.5,0,,0,0,0,0,,0,,0,0,0,,,,,
Machine Organizatn&Progrmng,Course Total,266,2.977,28.2,15,21.4,12.8,15.4,4.1,2.6,0,,0,0,0,,0,0,,0,0,0.4,,,,,
,367 001,174,2.909,15.5,18.4,28.7,16.7,14.9,1.7,2.3,0.6,,0.6,0,0,0,,0,,0,0.6,0,,,,,
,367 002,165,2.866,17,14.5,26.7,20.6,15.8,3,1.8,0.6,,0,0,0,0,,0,,0,0,0,,,,,
,367 003,67,2.538,13.4,13.4,25.4,9,25.4,0,11.9,1.5,,0,0,0,0,,0,,0,0,0,,,,,
,367 004,120,3.554,48.3,29.2,12.5,8.3,0.8,0,0.8,0,,0,0,0,0,,0,,0,0,0,,,,,
Intro to Data Structures,Course Total,526,2.997,23.2,19,24,15,13.3,1.5,3,0.6,,0.2,0,0,,0,0,,0,0.2,0,,,,,
Learn a Programming Language,368 001,102,,0,0,0,0,0,0,0,0,,0,84.3,15.7,0,,0,,0,0,0,,,,,
Introducing Comp Sci to K-12,402 001,37,3.986,97.3,2.7,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,0,,,,,
Intro to Numerical Methods,412 001,61,2.932,26.2,26.2,13.1,6.6,9.8,11.5,3.3,0,,0,0,0,0,,1.6,,1.6,0,0,,,,,
Intro-Combinatrl Optimizatn,425 001,12,3.083,25,41.7,0,8.3,16.7,8.3,0,0,,0,0,0,0,,0,,0,0,0,,,,,
Introduction to Cryptography,435 001,106,3.052,26.4,14.2,32.1,5.7,17,2.8,0.9,0,,0,0,0,0,,0.9,,0,0,0,,,,,
Intro-Combinatorics,475 001,16,3,18.8,6.3,50,6.3,18.8,0,0,0,,0,0,0,0,,0,,0,0,0,,,,,
Software Engineering,506 001,76,3.664,47.4,39.5,11.8,1.3,0,0,0,0,,0,0,0,0,,0,,0,0,0,,,,,
L&S,,,,,,,,,,,,,,,,,,,,,,,,,,,
