_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_song,rtable_artists,rtable_year
496,139378,657758,tiger rag,preservation hall jazz band,1989,tiger rag,the original dixieland jazz band,1947.0
1273,590234,270943,too little too late (live 3/11/04 dallas),barenaked ladies,0,too little too late,steven page+ed robertson+barenaked ladies,2003.0
2353,745750,575882,i don't care anymore ( lp version ),phil collins,0,i dont care anymore,phil collins,1983.0
2663,766248,231528,where did our love go,the supremes,1964,where did our love go,lamont dozier+brian holland+eddie holland+the supremes,2005.0
2907,389190,82676,l-o-v-e,joss stone,2007,l-o-v-e,joss stone,2012.0
3844,890181,277164,uptight (everything's alright),stevie wonder,0,uptight (everythings alright),stevie wonder+sylvia moy+henry cosby+the tonight show band,1992.0
4879,796693,270229,lovely lonely girl,jenny martin,0,girl,martin rev+alan vega+vue,1999.0
5862,358643,330170,i melt with you (album version),jason mraz,0,i melt with you,robbie grey+stephen walker+mick conroy+gary mcdowell+richard ian brown+jason mraz,2004.0
6640,698232,692658,light of a clear blue morning,dolly parton,1977,light of a clear blue morning,dolly parton+the wailin jennys,2011.0
7387,474424,141712,stars and stripes forever,john mceuen,0,the stars and stripes forever,john philip sousa,2004.0
10886,601746,594806,the rise and fall of&,pigeon john,0,rise and fall,john ensslin+michael rank+charles h. desmond+scott carelton brenner+marat,2006.0
11237,535486,74909,three little birds,sean paul / ziggy marley,2004,three little birds,ziggy marley,2000.0
12948,731576,455797,life is but a dream,the harptones,1990,life is but a dream,raul cita+hy weiss+the harptones,1990.0
12999,599407,555767,georgia on my mind,jean-michel bernard,0,made up my mind,bernard mitchell+janai brinson,2008.0
13784,654309,637297,you & me & the bottle makes 3 tonight (baby),big bad voodoo daddy,1996,you & me & the bottle makes 3 tonight (baby),big bad voodoo daddy+scott morris,1996.0
14204,388259,152521,retreat to nowhere,napalm death,1988,retreat to nowhere,napalm death,2011.0
16380,754254,224555,star trek: first contact- end title,jerry goldsmith,0,star trek: the next generation main title,jerry goldsmith+alexander courage,1987.0
17469,623720,193083,still take you home,arctic monkeys,2004,still take you home,arctic monkeys,2009.0
17845,949414,22355,you're the one that i want,john travolta / olivia newton-john,1978,youre the one that i want,john farrar+john travolta+olivia newton-john,2007.0
18555,958835,41647,straighten up and fly right (digitally remastered original),nat king cole trio,0,straighten up and fly right,nat king cole+irving mills+jacob hoggard,2003.0
19678,282489,313809,camino de vuelta,ana belén,1991,camino de vuelta,pancho varona+gloria varona+antonio garcía de diego+ana belén,1990.0
19847,702210,149376,love is all around (the mary tyler moor show theme),sonny curtis,0,love is all around,sonny curtis,1970.0
22138,960655,506449,la yerbita,los corraleros de majagual,0,la rumba,los trovadores,1998.0
22146,542942,506449,la cucaracha,los del sol,0,la rumba,los trovadores,1998.0
22321,493834,533557,chasing sheep is best left to shepherds,michael nyman,1989,chasing sheep is best left to shepherds,michael nyman,2015.0
22423,843044,601766,release it (instrumental),afro celt sound system,1999,release it (instrumental),simon emmerson+james mcnally+iarla olionaird+afro celt sound system,2004.0
22719,917908,606843,it's showtime pt. 1,the mooney suzuki,0,its showtime pt. ii,sammy james jr.+the mooney suzuki,2003.0
23942,773531,301334,do you feel my love,eddy grant,1981,do you feel my love?,eddy grant,1964.0
25949,709471,216820,machine gun,portishead,2007,machine gun,portishead,2005.0
26646,642478,278209,i need to know,marc anthony,1999,i need to know,marc anthony+cory rooney+the tonight show band,1992.0
27516,773019,246357,thank you for being a friend,andrew gold,1978,thank you for being a friend,andrew gold+cynthia fee,1985.0
