_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_song,rtable_artists,rtable_year,gold
496,139378,657758,"(((t)), ((i)), ((g)), ((e)), ((r)), (( )), ((r)), ((a)), ((g)))","(((p)), ((r)), ((e)), ((s)), ((e)), ((r)), ((v)), ((a)), ((t)), ((i)), ((o)), ((n)), (( )), ((h)), ((a)), ((l)), ((l)), (( )), ((j)), ((a)), ((z)), ((z)), (( )), ((b)), ((a)), ((n)), ((d)))",1989,"(((t)), ((i)), ((g)), ((e)), ((r)), (( )), ((r)), ((a)), ((g)))","(((t)), ((h)), ((e)), (( )), ((o)), ((r)), ((i)), ((g)), ((i)), ((n)), ((a)), ((l)), (( )), ((d)), ((i)), ((x)), ((i)), ((e)), ((l)), ((a)), ((n)), ((d)), (( )), ((j)), ((a)), ((z)), ((z)), (( )), ((b)), ((a)), ((n)), ((d)))",1947,0
1273,590234,270943,"(((t)), ((o)), ((o)), (( )), ((l)), ((i)), ((t)), ((t)), ((l)), ((e)), (( )), ((t)), ((o)), ((o)), (( )), ((l)), ((a)), ((t)), ((e)), (( )), ((()), ((l)), ((i)), ((v)), ((e)), (( )), ((3)), ((/)), ((1)), ((1)), ((/)), ((0)), ((4)), (( )), ((d)), ((a)), ((l)), ((l)), ((a)), ((s)), (())))","(((b)), ((a)), ((r)), ((e)), ((n)), ((a)), ((k)), ((e)), ((d)), (( )), ((l)), ((a)), ((d)), ((i)), ((e)), ((s)))",0,"(((t)), ((o)), ((o)), (( )), ((l)), ((i)), ((t)), ((t)), ((l)), ((e)), (( )), ((t)), ((o)), ((o)), (( )), ((l)), ((a)), ((t)), ((e)))","(((s)), ((t)), ((e)), ((v)), ((e)), ((n)), (( )), ((p)), ((a)), ((g)), ((e)), ((+)), ((e)), ((d)), (( )), ((r)), ((o)), ((b)), ((e)), ((r)), ((t)), ((s)), ((o)), ((n)), ((+)), ((b)), ((a)), ((r)), ((e)), ((n)), ((a)), ((k)), ((e)), ((d)), (( )), ((l)), ((a)), ((d)), ((i)), ((e)), ((s)))",2003,1
2353,745750,575882,"(((i)), (( )), ((d)), ((o)), ((n)), ((')), ((t)), (( )), ((c)), ((a)), ((r)), ((e)), (( )), ((a)), ((n)), ((y)), ((m)), ((o)), ((r)), ((e)), (( )), ((()), (( )), ((l)), ((p)), (( )), ((v)), ((e)), ((r)), ((s)), ((i)), ((o)), ((n)), (( )), (())))","(((p)), ((h)), ((i)), ((l)), (( )), ((c)), ((o)), ((l)), ((l)), ((i)), ((n)), ((s)))",0,"(((i)), (( )), ((d)), ((o)), ((n)), ((t)), (( )), ((c)), ((a)), ((r)), ((e)), (( )), ((a)), ((n)), ((y)), ((m)), ((o)), ((r)), ((e)))","(((p)), ((h)), ((i)), ((l)), (( )), ((c)), ((o)), ((l)), ((l)), ((i)), ((n)), ((s)))",1983,1
2663,766248,231528,"(((w)), ((h)), ((e)), ((r)), ((e)), (( )), ((d)), ((i)), ((d)), (( )), ((o)), ((u)), ((r)), (( )), ((l)), ((o)), ((v)), ((e)), (( )), ((g)), ((o)))","(((t)), ((h)), ((e)), (( )), ((s)), ((u)), ((p)), ((r)), ((e)), ((m)), ((e)), ((s)))",1964,"(((w)), ((h)), ((e)), ((r)), ((e)), (( )), ((d)), ((i)), ((d)), (( )), ((o)), ((u)), ((r)), (( )), ((l)), ((o)), ((v)), ((e)), (( )), ((g)), ((o)))","(((l)), ((a)), ((m)), ((o)), ((n)), ((t)), (( )), ((d)), ((o)), ((z)), ((i)), ((e)), ((r)), ((+)), ((b)), ((r)), ((i)), ((a)), ((n)), (( )), ((h)), ((o)), ((l)), ((l)), ((a)), ((n)), ((d)), ((+)), ((e)), ((d)), ((d)), ((i)), ((e)), (( )), ((h)), ((o)), ((l)), ((l)), ((a)), ((n)), ((d)), ((+)), ((t)), ((h)), ((e)), (( )), ((s)), ((u)), ((p)), ((r)), ((e)), ((m)), ((e)), ((s)))",2005,1
2907,389190,82676,"(((l)), ((-)), ((o)), ((-)), ((v)), ((-)), ((e)))","(((j)), ((o)), ((s)), ((s)), (( )), ((s)), ((t)), ((o)), ((n)), ((e)))",2007,"(((l)), ((-)), ((o)), ((-)), ((v)), ((-)), ((e)))","(((j)), ((o)), ((s)), ((s)), (( )), ((s)), ((t)), ((o)), ((n)), ((e)))",2012,1
3844,890181,277164,"(((u)), ((p)), ((t)), ((i)), ((g)), ((h)), ((t)), (( )), ((()), ((e)), ((v)), ((e)), ((r)), ((y)), ((t)), ((h)), ((i)), ((n)), ((g)), ((')), ((s)), (( )), ((a)), ((l)), ((r)), ((i)), ((g)), ((h)), ((t)), (())))","(((s)), ((t)), ((e)), ((v)), ((i)), ((e)), (( )), ((w)), ((o)), ((n)), ((d)), ((e)), ((r)))",0,"(((u)), ((p)), ((t)), ((i)), ((g)), ((h)), ((t)), (( )), ((()), ((e)), ((v)), ((e)), ((r)), ((y)), ((t)), ((h)), ((i)), ((n)), ((g)), ((s)), (( )), ((a)), ((l)), ((r)), ((i)), ((g)), ((h)), ((t)), (())))","(((s)), ((t)), ((e)), ((v)), ((i)), ((e)), (( )), ((w)), ((o)), ((n)), ((d)), ((e)), ((r)), ((+)), ((s)), ((y)), ((l)), ((v)), ((i)), ((a)), (( )), ((m)), ((o)), ((y)), ((+)), ((h)), ((e)), ((n)), ((r)), ((y)), (( )), ((c)), ((o)), ((s)), ((b)), ((y)), ((+)), ((t)), ((h)), ((e)), (( )), ((t)), ((o)), ((n)), ((i)), ((g)), ((h)), ((t)), (( )), ((s)), ((h)), ((o)), ((w)), (( )), ((b)), ((a)), ((n)), ((d)))",1992,1
4879,796693,270229,"(((l)), ((o)), ((v)), ((e)), ((l)), ((y)), (( )), ((l)), ((o)), ((n)), ((e)), ((l)), ((y)), (( )), ((g)), ((i)), ((r)), ((l)))","(((j)), ((e)), ((n)), ((n)), ((y)), (( )), ((m)), ((a)), ((r)), ((t)), ((i)), ((n)))",0,"(((g)), ((i)), ((r)), ((l)))","(((m)), ((a)), ((r)), ((t)), ((i)), ((n)), (( )), ((r)), ((e)), ((v)), ((+)), ((a)), ((l)), ((a)), ((n)), (( )), ((v)), ((e)), ((g)), ((a)), ((+)), ((v)), ((u)), ((e)))",1999,0
5862,358643,330170,"(((i)), (( )), ((m)), ((e)), ((l)), ((t)), (( )), ((w)), ((i)), ((t)), ((h)), (( )), ((y)), ((o)), ((u)), (( )), ((()), ((a)), ((l)), ((b)), ((u)), ((m)), (( )), ((v)), ((e)), ((r)), ((s)), ((i)), ((o)), ((n)), (())))","(((j)), ((a)), ((s)), ((o)), ((n)), (( )), ((m)), ((r)), ((a)), ((z)))",0,"(((i)), (( )), ((m)), ((e)), ((l)), ((t)), (( )), ((w)), ((i)), ((t)), ((h)), (( )), ((y)), ((o)), ((u)))","(((r)), ((o)), ((b)), ((b)), ((i)), ((e)), (( )), ((g)), ((r)), ((e)), ((y)), ((+)), ((s)), ((t)), ((e)), ((p)), ((h)), ((e)), ((n)), (( )), ((w)), ((a)), ((l)), ((k)), ((e)), ((r)), ((+)), ((m)), ((i)), ((c)), ((k)), (( )), ((c)), ((o)), ((n)), ((r)), ((o)), ((y)), ((+)), ((g)), ((a)), ((r)), ((y)), (( )), ((m)), ((c)), ((d)), ((o)), ((w)), ((e)), ((l)), ((l)), ((+)), ((r)), ((i)), ((c)), ((h)), ((a)), ((r)), ((d)), (( )), ((i)), ((a)), ((n)), (( )), ((b)), ((r)), ((o)), ((w)), ((n)), ((+)), ((j)), ((a)), ((s)), ((o)), ((n)), (( )), ((m)), ((r)), ((a)), ((z)))",2004,1
6640,698232,692658,"(((l)), ((i)), ((g)), ((h)), ((t)), (( )), ((o)), ((f)), (( )), ((a)), (( )), ((c)), ((l)), ((e)), ((a)), ((r)), (( )), ((b)), ((l)), ((u)), ((e)), (( )), ((m)), ((o)), ((r)), ((n)), ((i)), ((n)), ((g)))","(((d)), ((o)), ((l)), ((l)), ((y)), (( )), ((p)), ((a)), ((r)), ((t)), ((o)), ((n)))",1977,"(((l)), ((i)), ((g)), ((h)), ((t)), (( )), ((o)), ((f)), (( )), ((a)), (( )), ((c)), ((l)), ((e)), ((a)), ((r)), (( )), ((b)), ((l)), ((u)), ((e)), (( )), ((m)), ((o)), ((r)), ((n)), ((i)), ((n)), ((g)))","(((d)), ((o)), ((l)), ((l)), ((y)), (( )), ((p)), ((a)), ((r)), ((t)), ((o)), ((n)), ((+)), ((t)), ((h)), ((e)), (( )), ((w)), ((a)), ((i)), ((l)), ((i)), ((n)), (( )), ((j)), ((e)), ((n)), ((n)), ((y)), ((s)))",2011,1
7387,474424,141712,"(((s)), ((t)), ((a)), ((r)), ((s)), (( )), ((a)), ((n)), ((d)), (( )), ((s)), ((t)), ((r)), ((i)), ((p)), ((e)), ((s)), (( )), ((f)), ((o)), ((r)), ((e)), ((v)), ((e)), ((r)))","(((j)), ((o)), ((h)), ((n)), (( )), ((m)), ((c)), ((e)), ((u)), ((e)), ((n)))",0,"(((t)), ((h)), ((e)), (( )), ((s)), ((t)), ((a)), ((r)), ((s)), (( )), ((a)), ((n)), ((d)), (( )), ((s)), ((t)), ((r)), ((i)), ((p)), ((e)), ((s)), (( )), ((f)), ((o)), ((r)), ((e)), ((v)), ((e)), ((r)))","(((j)), ((o)), ((h)), ((n)), (( )), ((p)), ((h)), ((i)), ((l)), ((i)), ((p)), (( )), ((s)), ((o)), ((u)), ((s)), ((a)))",2004,1
