id,name,artist,year
950275,still in love,pamela williams,0
901127,ghost walker,mishi donovan,0
950280,celebrate the child (the final word album version),michael card,0
948909,bounce,bjorn b,0
819217,this charming man,the smiths,1983
811027,how to start a band,fort knox five featuring ian svenonius & mustafa akbar,2008
518830,crack the shutters,snow patrol,2008
647192,son of a preacher man,dusty springfield,1969
950301,new language,pursuit of happiness,0
142000,the fishin' hole (digitally remastered 93),andy griffith,0
933923,fandangueiro À luz da lua,josé cid,0
958500,love is just a dream (tatazela),johnny clegg & juluka,0
524336,charlie is my darling,the vipers skiffle group,0
892977,beautiful day (in the name of love album version),sanctus real,0
811061,someday,michael learns to rock,1995
958527,baby come to me,regina belle,1989
958532,the heart of rock and roll (24-bit digitally remastered 99),huey lewis and the news,1983
843849,ti offro da bere,gianni morandi,0
761943,daydream believer (album version),john stewart,0
401496,pennies from heaven,bing crosby,1936
920371,the night is young and you're so beautiful,frank sinatra,2007
958555,rock around the clock,bill haley & the comets,0
958557,main theme from total recall,orlando pops orchestra and andrew lane,0
557157,sun valley serenade: chattanooga choo choo,glenn miller orchestra,0
933996,that old black magic (2007 digital remaster) (rudy van gelder edition),ike quebec,0
790546,for the sake of the call (abbey road version),steven curtis chapman,0
942193,quelo de triana,gino d'auri,0
139378,tiger rag,preservation hall jazz band,1989
958579,killed by a god,ramin djawadi,2010
917624,gia sena ego boro,sakis rouvas,0
950393,algo pa nosotros,la barbería del sur,1998
352378,pop song,3 doors down,2002
942203,irene - a musical comedy/we're getting away with it (carmen alwarez_ janie sell_ george s.  irving_ ted pugh),debbie reynolds,0
917628,william tell overture,spike jones and his city slickers,2006
942205,little soldier,spencer day,2009
950398,you can dance the rock 'n' roll (1999 digital remaster),wizzard,0
942210,si la muerte pisa mi huerto,joan manuel serrat,1970
483463,the trolley song [from meet me in st. louis],the boston pops orchestra / john williams,0
565384,hands playing buttefly,efterklang,2007
827529,savior's day (for a time like this album version),sheila walsh,0
953026,mio fratello e' figlio unico,rino gaetano,0
785091,live good,johnny osbourne,0
942230,figments from the sky,lewis parker,2002
942233,acabado en a,el canto del loco,2008
893082,popular music social condition,the jane shermans,2008
599407,georgia on my mind,jean-michel bernard,0
688288,ode to joy from symphony no. 9 in d minor_ op. 125,philharmonia chorus,0
946015,number one,john legend,2005
847899,i don't wanna hold your hand,bad apples,0
950436,on green dolphin street (1992 digital remaster),the george shearing quintet with nancy wilson,0
919277,the story,tim,0
958635,the mayor and the seizure pills,palo alto,0
680108,deidres samba (quem te viu quem te ve) (2002 digital remaster),anne-lie rydé,0
213167,ta bueno pa baila,tito puente,1992
938014,welcome,the crazy world of arthur brown,2002
950455,great escape,kevin rudolf,2008
690300,gas reprise,andi sex gang,0
827578,la magie entre nous,serge franklin,0
943477,lep kao lutka,reni,0
942273,in dis h*** (unreleased),kami kaze inc.,0
142027,boogie wonderland,earth_ wind & fire with the emotions,1987
426181,estranha forma de vida,paulo gonzo,2006
917705,how come you do me?,ray brown trio,0
958670,the lonely life,chase pagan,0
961229,tell me man,charlie patton,0
917713,mercedes benz - remix,janis joplin vs medicine head,0
958675,the word of your body (reprise),jonathan b. wright / gideon glick / brian johnson / skylar astin / john gallagher_ jr. / jonathan groff / lea michele / lilli cooper / lauren pritchard / phoebe strole / remy zaken,0
925909,detroit rock city,hayseed dixie,2003
950486,vanilla ice cream,stephen lynch,2005
901336,act together,ronnie wood,0
950489,street scene (live),ray anthony,0
958683,i remember,robert glasper,2005
958685,baby child,jimmy nelson,0
557279,we did it!,dora the explorer,0
797392,lawless avenues  (lp version),jackson browne,1986
704739,sugat ng puso,rj,0
942312,three wishes (lp version),johnny van zandt,1990
155883,anyone who knows what love is (will understand),irma thomas,1964
942317,yakety yak,the coasters,1958
57583,rigoletto de giuseppe verdi - e il sol dell'anima,maria callas,0
674370,will you follow me?,rob dougan,2001
925945,ride,cary brothers,2006
950523,mother_ i thank you for the bible you gave,the louvin brothers,0
958717,do you believe in reincarnation? [the lost interview tapes - volume two] (lp version),the doors,0
557310,the best of times,jerry herman,1986
950527,suite for violin and orchestra in a minor_ op. 10 (suite im alten stil) (1995 digital remaster): iii.   tempo giusto,itzhak perlman/pittsburgh symphony orchestra/andré previn,0
958721,sweet talkin' woman,electric light orchestra,1977
384359,mi chica se ha ido a katmandu,los nikis,2005
696138,reet petite,jackie wilson,1987
958733,i don't know why (i just do) (album version),chico hamilton,2008
934159,summer rain,en voice,2006
819472,street scene (music director alfred newman's movie theme from several 20th century fox film noir classics),larry vuckovich,0
893205,speakeasy,shed seven,1994
745750,i don't care anymore ( lp version ),phil collins,0
958744,arcade,rob sparx,2010
753950,white boots marching in a yellow land,phil ochs,1968
360236,fire (the invisible man remix),soularis ft. denise johnson,0
852260,glória ao rei dos confins do além,os mutantes,2006
794920,kyle's mom's a bitch (lp version),south park,0
704811,babylon beast (feat. killah priest),heavyweight dub champion,0
958768,waiting for daddy / sam lowry's wetter dream 'the monoliths erupt,michael kamen,2006
934198,magic queen,gideon smith and the dixie damned,0
606519,i live not where i love,maddy prior & tim hart,1971
778553,guitar hero hero (beating guitar hero doesn't make you slash),mc lars (featuring paul gilbert and parry gripp),0
753978,once a punk_ always a punk,kill switch& klick,0
188732,roll dem bones,jazz gillum,0
844094,the gun is a coward's weapon,blue orchids,0
958783,return of / burno (album),oxford collapse,2006
901440,proud mary,tina turner,1988
