songs_id,title,artist_name,year,tracks_id,title,year,episode,song,artists
590234,too little too late (live 3/11/04 dallas),barenaked ladies,0,270943,the surreal life,2003.0,,too little too late,steven page+ed robertson+barenaked ladies
745750,i don't care anymore ( lp version ),phil collins,0,575882,phil collins: live at perkins palace,1983.0,,i dont care anymore,phil collins
766248,where did our love go,the supremes,1964,231528,tv land confidential,2005.0,music (#2.6),where did our love go,lamont dozier+brian holland+eddie holland+the supremes
389190,l-o-v-e,joss stone,2007,82676,enie backt,2012.0,verliebt  verlobt  verheiratet (#4.6),l-o-v-e,joss stone
890181,uptight (everything's alright),stevie wonder,0,277164,the tonight show with jay leno,1992.0,(#19.117),uptight (everythings alright),stevie wonder+sylvia moy+henry cosby+the tonight show band
358643,i melt with you (album version),jason mraz,0,330170,50 first dates,2004.0,,i melt with you,robbie grey+stephen walker+mick conroy+gary mcdowell+richard ian brown+jason mraz
698232,light of a clear blue morning,dolly parton,1977,692658,the year dolly parton was my mom,2011.0,,light of a clear blue morning,dolly parton+the wailin jennys
474424,stars and stripes forever,john mceuen,0,141712,los nuevos y clásicos bloopers,2004.0,los nuevos y clásicos bloopers - parte 7 (#1.7),the stars and stripes forever,john philip sousa
535486,three little birds,sean paul / ziggy marley,2004,74909,dora the explorer,2000.0,world adventure,three little birds,ziggy marley
731576,life is but a dream,the harptones,1990,455797,goodfellas,1990.0,,life is but a dream,raul cita+hy weiss+the harptones
654309,you & me & the bottle makes 3 tonight (baby),big bad voodoo daddy,1996,637297,swingers,1996.0,,you & me & the bottle makes 3 tonight (baby),big bad voodoo daddy+scott morris
388259,retreat to nowhere,napalm death,1988,152521,metal evolution,2011.0,extreme metal (#1.12),retreat to nowhere,napalm death
623720,still take you home,arctic monkeys,2004,193083,reading and leeds festival,2009.0,arctic monkeys (#1.5),still take you home,arctic monkeys
949414,you're the one that i want,john travolta / olivia newton-john,1978,22355,banda sonora,2007.0,(#6.4),youre the one that i want,john farrar+john travolta+olivia newton-john
958835,straighten up and fly right (digitally remastered original),nat king cole trio,0,41647,canadian idol,2003.0,top 4 performances (#2.28),straighten up and fly right,nat king cole+irving mills+jacob hoggard
282489,camino de vuelta,ana belén,1991,313809,viva el espectáculo,1990.0,(#2.14),camino de vuelta,pancho varona+gloria varona+antonio garcía de diego+ana belén
702210,love is all around (the mary tyler moor show theme),sonny curtis,0,149376,mary tyler moore,1970.0,feeb (#2.16),love is all around,sonny curtis
493834,chasing sheep is best left to shepherds,michael nyman,1989,533557,marguerite,2015.0,,chasing sheep is best left to shepherds,michael nyman
843044,release it (instrumental),afro celt sound system,1999,601766,sacred planet,2004.0,,release it (instrumental),simon emmerson+james mcnally+iarla olionaird+afro celt sound system
773531,do you feel my love,eddy grant,1981,301334,top of the pops,1964.0,(1980-11-20),do you feel my love?,eddy grant
709471,machine gun,portishead,2007,216820,so you think you can dance,2005.0,the top eight perform (#6.21),machine gun,portishead
642478,i need to know,marc anthony,1999,278209,the tonight show with jay leno,1992.0,(#20.145),i need to know,marc anthony+cory rooney+the tonight show band
773019,thank you for being a friend,andrew gold,1978,246357,the golden girls,1985.0,dancing in the dark (#5.6),thank you for being a friend,andrew gold+cynthia fee
951906,fame 09,naturi naughton,0,436255,fame,2009.0,,fame,michael gore+dean pitchford+naturi naughton
505576,marmor_ stein und eisen bricht - exklusive neuaufnahme,drafi deutscher,0,698399,tod den hippies!! es lebe der punk!,2015.0,,marmor  stein und eisen bricht,drafi deutscher
843849,ti offro da bere,gianni morandi,0,339206,achtung  fertig  charlie!,2003.0,,ti offro da bere,gianni morandi
783441,the three bells (les trois cloches) (digitally remastered),the browns,0,270032,the sopranos,1999.0,mr. & mrs. john sacrimoni request (#6.5),the three bells (les trois cloches),jean villard+the browns
390091,versteht ihr was von vögeln?,funny van dannen,1997,319537,willkommen Österreich,2007.0,(#1.68),versteht ihr was von vögeln?,funny van dannen
493770,addicted to love,robert palmer,1985,58471,dancing with the stars,2005.0,round 1: part 1 (#8.1),addicted to love,robert palmer
405390,california,phantom planet,2001,87960,fastlane,2002.0,mighty blue (#1.8),california,phantom planet
823281,gravity,john mayer trio,2005,644452,the 48th annual grammy awards,2006.0,,gravity,john mayer
925945,ride,cary brothers,2006,173019,one tree hill,2003.0,hundred (#5.12),ride,cary brothers  with jason kanakis
193991,only love will hold fast,charlie peacock,1988,87116,fame,1982.0,hold that baby (#6.6),only love will hold fast,charlie deacock+carrie hamilton+nia peeples+loretta chandler+elisa heinsohn
493541,anamaria,montefiori cocktail,1997,463643,happy accidents,2000.0,,anamaria,francesco montefiori+federico montefiori+montefiori cocktail
549906,2001: a space odyssey - blue danube waltz,strauss,0,636464,sweet 15,1990.0,,blue danube waltz,johann strauss
673249,i predict a riot,kaiser chiefs,2004,193158,reading and leeds festival,2009.0,kaiser chiefs (#1.2),i predict a riot,kaiser chiefs
614965,backwell,beak>,0,170384,off the air,2011.0,hair (#4.1),backwell,beak>
922405,the time is now (live at brixton),moloko,2006,303247,top of the pops,1964.0,(2000-04-07),the time is now,moloko
259098,merry happy / little red,kate nash,2007,188399,privileged,2008.0,pilot (#1.1),merry happy,kate nash
319897,growing pains,la roux,2009,154605,misfits,2009.0,(#1.3),growing pains,elly jackson+ben langmaid+jeff patterson+la roux
951505,hippy hippy shake,the swinging blue jeans,1963,107581,heartbeat,1992.0,fruits of the earth (#1.2),hippy hippy shake,the swinging blue jeans+chan romero
686063,hand in my pocket (album version),alanis morissette,1996,342271,alanis morissette: jagged little pill - live,1997.0,,hand in my pocket,alanis morissette  / glen ballard+alanis morissette
617442,higher love,steve clark,0,57111,dancing on ice,2006.0,(#5.12),higher love,steve winwood+will jennings
581585,heart like a wheel (album version),kate & anna mcgarrigle,1975,694438,this beat goes on: canadian pop music in the 1970s,2009.0,,heart like a wheel,anna mcgarrigle+kate mcgarrigle
926667,i know where it's at (nu birth riddum dub),all saints,1998,140151,live from studio five,2009.0,(#1.114),i know where its at,all saints
381809,it takes two,rob base & dj ez rock,1988,680734,the real cancun,2003.0,,it takes two,james brown+robert ginyard+rob base+dj ez rock
