Professor	Course	Rating	Comment
Arun Kumar	CS564	AWESOME	Arun himself is a pretty funny and charismatic guy. His section of 564 this semester is MUCH better than the other (I have attended both). The course content really sucks, but I think that Paris Koutris (the actual professor) has full control over this, and Arun just has to deal with it. I do recommend him highly, but not for 564 with Paris.
Arun Kumar	CS564	AVERAGE	Arun saved my grade in 564. I was signed up for another section but I started going to Arun's instead and it was a complete difference. The class was still extremely difficult but having Arun definitely helped.
Arun Kumar	CS564	POOR	Arun is away smarter than average students and expect us to be as smart as he is. He moves very fast in lecture and it is hard to follow if you do not read books along with lecture.  Assignments are tough and took a lot of effort just to finish. The worst part , the average for both projects and exams is only 50%. Avoid him and Paris.
Arun Kumar	CS564	AVERAGE	Arun is a clever guy. But his grading on exam is too tough, exam itself is also very tough. Also his hand writing is hard to recognize. His pace is too fast. Homework is also very tough (you can compare it with the same course taught by other professors). Avoid him unless no other choice (maybe wait for another semester). BTW, he discourage email .
Irene Rae	CS570	AWFUL	Incredibly subjective grading, useless lectures, forced participation, group projects that force you to rely on complete strangers for a shared grade, excessive and boring readings, and contrived material. There is no required coding, instead you are treated to an endless wave of busy work and powerpoint presentations. This should not be a CS class
Irene Rae	CS570	POOR	Irene reads straight off her PowerPoint slides so lectures are pointless. Sometimes there are group activities which are pretty useless. Grading is a huge mess. There is a rubric but the grading is just based off your classmates performance. The readings are excessive and not helpful. The majority of the class is working with an assigned group.
Deborah Joseph	CS577	AWFUL	Bach is still in charge of the homework and tests, but Joseph teaches off of wiki pages and has no idea what she's doing.
Deborah Joseph	577	GOOD	Good lecturer. Knows what she's talking about; answers questions well. The biggest flaw with this class was letting Eric Bach have a say in what went on the quizzes. Some of the quizzes were unrelated to class material&the questions weren't worth thinking about as they won't be used in CS, ever. questions on all material were convoluted to the max
Deborah Joseph	CS577	AWESOME	I thought Deb made a good effort to teach the material in a way that was easy to understand and easy to refer to in the future (using free online resources and textbooks). She does lecture a bit slow at times, but it is very clear. She's also very knowledgeable about extendedrelated topics if you talk to her after class or during office hours.
Deborah Joseph	CS240	POOR	Totally chill class (although lectures get boring sometimes). Really super easy A with this prof.
Deborah Joseph	CS240	GOOD	Thought she was very clear in explaining the concepts and the logic was followable. Exams aren't very long so missing a few questions can set you back more.
Deborah Joseph	CS240	AWESOME	The material is so basic and simple it really comes down to how hard they grade and exams. There were four 16-22 multiple choices quizzes and several brief HWs, as well as extra credit opportunity. Great lecturer, very clear, but as a 3rd year ECECS student I stopped showing up because much of the content is covered in other courses. Great teacher
Deborah Joseph	CS240	AWESOME	She's an awesome professor.  If you are required to take CS240, it's worth the wait to take it when she's teaching.  Just a great person overall, really cares about the students!!
Deborah Joseph	CS577	AWFUL	Deb Joseph is probably the worst professor I've ever had. She seems to possibly know her stuff, but is just not good at conveying it. Lectures are boring as hell, she procrastinated assigning all homework til near the end, basically screwing us all over to get the 45% we needed to pass the class. Easy A, but mental suffering along the way. 2/10
Deborah Joseph	CS577	AVERAGE	Here is my advice to anyone in CS taking 577: take it with DebJo, unless you really want to learn a lot and are willing to put in a LOT of time and energy into the course with someone else. I feel I learned a bit les than I would've with another professor, but it's just crazy easy. And DebJo is pretty helpful if you ask. Just confusing.
Deborah Joseph	CS577	AWFUL	Take this class if all you care about is getting an A. The class is horribly unorganized and inconsistent. Her lectures are uninformative and unprepared. She is definitely one of the worst professors I have ever had. Don't even bother going to most lectures. Just do enough work for an A, which is very doable, and take that.
Deborah Joseph	CS577	POOR	Horrible teacher, if you want to learn something about algorithms do not take this class with her. Only have to get 200 out of 400 points to get an A, but she routinely grades things incorrectly and enters points in wrong so you have no idea how you are doing until late into the semester.
Deborah Joseph	CS577	GOOD	She gave us 400 available points and said that we need 200 of those to get an A. This would have been a lot easier if the homework and quizzes had been released at a constant rate and not all at the end of the semester. Overall, really easy to get an A in this class without learning anything.
Deborah Joseph	CS577	GOOD	Most of the material is released when half the semester is over. Just attending lecture and passively consuming the material is a recipe for failure in this course. You have to actively work hard to make sense of things. There's a lack of clarity at times, but if you put the book, her lecture & wikipedia together it makes sense.
Deborah Joseph	CS577	AWFUL	Is consistently late to class, moves extremely slowly, and wastes classtime by asking poorly-phrased questions with little background and not moving on until the class has arrived at the proper answer. The lectures are a complete waste of time, and she seems not to care.
